ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000472,SIDM00590,753562.0,HSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC2_UPPER_AERODIGESTIVE_TRACT
ACH-000473,SIDM00402,909704.0,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,RT112_URINARY_TRACT
ACH-000475,SIDM00586,1298146.0,huH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH1_LIVER
ACH-000476,SIDM00616,1240158.0,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH4_LIVER
ACH-000478,SIDM01180,909736.0,SNU-387,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU387_LIVER
ACH-000480,SIDM00585,907071.0,HuH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH7_LIVER
ACH-000481,SIDM00716,687815.0,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH2170_LUNG
ACH-000482,SIDM00356,1298537.0,RERF-LC-KJ,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,RERFLCKJ_LUNG
ACH-000484,SIDM00318,1240224.0,VMRC-RCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,VMRCRCW_KIDNEY
ACH-000486,SIDM01033,907312.0,KU-19-19,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,KU1919_URINARY_TRACT
ACH-000488,SIDM00348,946354.0,TE-11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE11_OESOPHAGUS
ACH-000489,SIDM00835,909746.0,SW1116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW1116_LARGE_INTESTINE
ACH-000491,SIDM00779,908458.0,NCI-H716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH716_LARGE_INTESTINE
ACH-000493,SIDM01199,909737.0,SNU-423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU423_LIVER
ACH-000496,SIDM00771,724868.0,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1792_LUNG
ACH-000501,SIDM00776,907792.0,LS123,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS123_LARGE_INTESTINE
ACH-000504,SIDM00095,905982.0,SNB75,CNS/Brain,Diffuse Glioma,Glioblastoma,SNB75_CENTRAL_NERVOUS_SYSTEM
