ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000558,SIDM00799,687563.0,A-172,CNS/Brain,Diffuse Glioma,Glioblastoma,A172_CENTRAL_NERVOUS_SYSTEM,2.7301931
ACH-000559,SIDM00770,1240182.0,NCI-H1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1836_LUNG,4.330575
ACH-000560,SIDM00280,906848.0,ECC10,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,ECC10_STOMACH,2.2931757
ACH-000561,SIDM00322,1299064.0,T.T,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TT_OESOPHAGUS,2.372572
ACH-000562,SIDM01068,1290908.0,HCC-78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC78_LUNG,2.8525863
ACH-000563,SIDM00486,753554.0,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EBC1_LUNG,2.8834565
ACH-000565,SIDM00359,909263.0,RCM-1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,RCM1_LARGE_INTESTINE,3.6151595
ACH-000566,SIDM00420,909749.0,SW-1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,SW1710_URINARY_TRACT,3.372195
ACH-000567,SIDM01198,910906.0,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5896361
ACH-000568,SIDM01187,910910.0,UACC-812,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,UACC812_BREAST,3.5855837
ACH-000569,SIDM00224,907173.0,IST-MES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",ISTMES1_PLEURA,3.3364997
ACH-000570,SIDM00315,687592.0,YKG1,CNS/Brain,Diffuse Glioma,Glioblastoma,YKG1_CENTRAL_NERVOUS_SYSTEM,3.015074
ACH-000571,SIDM01171,687586.0,T98G,CNS/Brain,Diffuse Glioma,Glioblastoma,T98G_CENTRAL_NERVOUS_SYSTEM,3.0034041
ACH-000572,SIDM00857,906865.0,G-361,Skin,Melanoma,Melanoma,G361_SKIN,2.7251384
ACH-000573,SIDM00629,1240172.0,MDA-MB-436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",MDAMB436_BREAST,3.8957536
ACH-000574,SIDM01040,1240129.0,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,FUOV1_OVARY,3.6230068
ACH-000577,SIDM00617,1240157.0,JHH-2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH2_LIVER,2.9966564
ACH-000579,SIDM00108,905977.0,UACC-257,Skin,Melanoma,Melanoma,UACC257_SKIN,3.9291883
ACH-000580,SIDM00890,906830.0,C32,Skin,Melanoma,Melanoma,C32_SKIN,3.4681082
ACH-000581,SIDM01145,908446.0,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU16_STOMACH,1.4491321
ACH-000583,SIDM00637,907799.0,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2110358
ACH-000584,SIDM00303,1480359.0,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,JHOS4_OVARY,1.8222848
ACH-000585,SIDM01044,753556.0,EPLC-272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EPLC272H_LUNG,2.4504726
ACH-000586,SIDM00766,1330972.0,NCI-H1876,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1876_LUNG,2.2914526
ACH-000587,SIDM00759,924244.0,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1975_LUNG,2.8159978
ACH-000589,SIDM00734,687794.0,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1437_LUNG,2.251302
ACH-000595,SIDM00684,1240169.0,LN-229,CNS/Brain,Diffuse Glioma,Glioblastoma,LN229_CENTRAL_NERVOUS_SYSTEM,3.7999654
ACH-000596,SIDM00344,946361.0,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC97TM1_LUNG,2.825282
ACH-000599,SIDM00455,1298526.0,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8902_PANCREAS,4.295586
ACH-000601,SIDM00505,724870.0,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,MIAPACA2_PANCREAS,2.9243584
ACH-000603,SIDM00990,753534.0,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,BEN_LUNG,2.936648
ACH-000605,SIDM00328,946355.0,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE6_OESOPHAGUS,3.018046
ACH-000607,SIDM00552,1240166.0,KYM-1,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,KYM1_SOFT_TISSUE,1.8707447
ACH-000609,SIDM00382,909712.0,SF126,CNS/Brain,Diffuse Glioma,Glioblastoma,SF126_CENTRAL_NERVOUS_SYSTEM,2.2945464
ACH-000610,SIDM00730,688018.0,NCI-H2227,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2227_LUNG,3.2018616
ACH-000611,SIDM00407,1331037.0,SU-DHL-6,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0654595
ACH-000613,SIDM00806,907060.0,HOS,Bone,Osteosarcoma,Osteosarcoma,HOS_BONE,2.4584763
ACH-000614,SIDM00401,909706.0,RVH-421,Skin,Melanoma,Melanoma,RVH421_SKIN,3.7792342
