ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000001,SIDM00105,905933.0,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,NIHOVCAR3_OVARY,3.2242148
ACH-000002,SIDM00829,905938.0,HL-60,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8525126
ACH-000004,SIDM00594,907053.0,HEL,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.825935
ACH-000006,SIDM01023,908148.0,MONO-MAC-6,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9725964
ACH-000007,SIDM00677,907795.0,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS513_LARGE_INTESTINE,2.5431273
ACH-000008,SIDM00801,910921.0,A101D,Skin,Melanoma,Melanoma,A101D_SKIN,2.5804465
ACH-000009,SIDM01233,910700.0,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C2BBE1_LARGE_INTESTINE,3.7683547
ACH-000012,SIDM01067,1240146.0,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC827_LUNG,3.569484
ACH-000015,SIDM00748,908471.0,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1581_LUNG,2.5329583
ACH-000018,SIDM01184,724812.0,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,T24_URINARY_TRACT,3.611656
ACH-000019,SIDM00148,905946.0,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MCF7_BREAST,3.4032683
ACH-000020,SIDM00331,908132.0,MHH-CALL-2,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.645199
ACH-000021,SIDM00742,687802.0,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1693_LUNG,4.454819
ACH-000023,SIDM00453,1240201.0,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8988T_PANCREAS,2.9718668
ACH-000024,SIDM00457,909249.0,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.7330923
ACH-000030,SIDM00237,753608.0,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,PC14_LUNG,2.923986
ACH-000035,SIDM00745,687800.0,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH1650_LUNG,4.4796386
ACH-000040,SIDM01193,687588.0,U-118 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,U118MG_CENTRAL_NERVOUS_SYSTEM,3.6189842
ACH-000042,SIDM01139,1298475.0,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0203_PANCREAS,3.5138736
ACH-000045,SIDM00657,908156.0,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.23376743
ACH-000046,SIDM00123,905950.0,ACHN,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,ACHN_KIDNEY,2.7737367
ACH-000048,SIDM01170,1299070.0,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,TOV112D_OVARY,2.4614236
ACH-000050,SIDM01148,724825.0,NCI-H929,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4247713
ACH-000052,SIDM00848,684052.0,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,A673_BONE,2.1111379
ACH-000053,SIDM01010,907273.0,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.9206364
ACH-000054,SIDM00828,907064.0,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,HT1080_SOFT_TISSUE,3.508665
ACH-000055,SIDM00888,906834.0,D283 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,D283MED_CENTRAL_NERVOUS_SYSTEM,1.6537926
ACH-000056,SIDM00981,906842.0,DOHH-2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.54950434
ACH-000058,SIDM00442,1240178.0,ML-1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,ML1_THYROID,3.7540464
ACH-000059,SIDM01176,1247871.0,SUP-B15,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.7045244
ACH-000060,SIDM01135,925348.0,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC1005_PANCREAS,4.3876953
ACH-000061,SIDM00671,907056.0,HH,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.2929678
ACH-000062,SIDM00355,910931.0,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,RERFLCMS_LUNG,1.90374
ACH-000065,SIDM00461,1330983.0,OCI-AML5,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.072141
ACH-000067,SIDM00666,1240150.0,Hs 683,CNS/Brain,Diffuse Glioma,Oligodendroglioma,HS683_CENTRAL_NERVOUS_SYSTEM,2.5154734
ACH-000070,SIDM01076,906800.0,697,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.878287
ACH-000072,SIDM00526,908126.0,MEG-01,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8569007
ACH-000073,SIDM01058,1303897.0,GRANTA-519,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.2633498
ACH-000074,SIDM00308,907311.0,KU812,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.32218
ACH-000075,SIDM01189,687590.0,U-87 MG,CNS/Brain,Diffuse Glioma,Glioblastoma,U87MG_CENTRAL_NERVOUS_SYSTEM,3.2905056
ACH-000078,SIDM00387,908135.0,MHH-NB-11,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,MHHNB11_AUTONOMIC_GANGLIA,1.9763509
ACH-000081,SIDM01057,906870.0,GDM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5575393
ACH-000082,SIDM00858,1290807.0,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,G292CLONEA141B1_BONE,3.7069218
ACH-000087,SIDM01111,684072.0,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,SKES1_BONE,1.8073468
ACH-000090,SIDM00088,905934.0,PC-3,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PC3_PROSTATE,4.0412426
ACH-000091,SIDM00475,1480362.0,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV56_OVARY,3.841212
ACH-000092,SIDM00722,908462.0,NCI-H2452,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",NCIH2452_PLEURA,3.058215
ACH-000094,SIDM00669,724869.0,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,HPAFII_PANCREAS,3.6582067
ACH-000096,SIDM00856,907299.0,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,G401_SOFT_TISSUE,2.0764897
ACH-000098,SIDM01055,906868.0,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,GAMG_CENTRAL_NERVOUS_SYSTEM,2.9504087
ACH-000099,SIDM00395,753620.0,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SIMA_AUTONOMIC_GANGLIA,2.421012
ACH-000100,SIDM00426,1240210.0,RH-41,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,RH41_SOFT_TISSUE,1.8752627
ACH-000101,SIDM01003,907277.0,KE-37,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1627449
ACH-000103,SIDM00918,949090.0,Caov-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,CAOV4_OVARY,2.930106
ACH-000104,SIDM00342,907789.0,Loucy,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Early T-Cell Precursor Lymphoblastic Leukemia,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.702315
ACH-000105,SIDM00994,1295740.0,ALL-SIL,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6388578
ACH-000106,SIDM01013,907269.0,JVM-2,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4095631
ACH-000107,SIDM00943,910915.0,Capan-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CAPAN2_PANCREAS,4.0845795
ACH-000108,SIDM00571,1298219.0,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,KP3_PANCREAS,3.6644845
ACH-000109,SIDM00046,,NCI-H3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH3255_LUNG,3.6934574
ACH-000111,SIDM00885,749711.0,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1187_BREAST,3.055585
ACH-000112,SIDM00396,909715.0,SIG-M5,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.167681
ACH-000113,SIDM00446,910947.0,OCI-AML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0780647
ACH-000114,SIDM01188,1240218.0,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SU8686_PANCREAS,4.461085
ACH-000115,SIDM01077,1299075.0,VCaP,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,VCAP_PROSTATE,3.2100742
ACH-000116,SIDM00481,946360.0,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OAW28_OVARY,3.5795069
ACH-000117,SIDM01002,1290798.0,EFM-192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,EFM192A_BREAST,3.6708744
ACH-000118,SIDM00533,907285.0,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,HUPT3_PANCREAS,4.0401177
ACH-000120,SIDM00910,906820.0,CHP-212,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHP212_AUTONOMIC_GANGLIA,2.0658436
ACH-000121,SIDM00724,687821.0,NCI-H2405,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2405_LUNG,5.3293247
ACH-000124,SIDM00460,1330984.0,OCI-LY-19,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2546581
ACH-000129,SIDM00646,1330964.0,NCI-H1341,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,NCIH1341_LUNG,2.660282
ACH-000132,SIDM00305,1479995.0,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,JHOS2_OVARY,2.680971
ACH-000135,SIDM00662,1298145.0,Hs 940.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",HS940T_FIBROBLAST,2.7100024
ACH-000136,SIDM00286,910567.0,CHP-126,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CHP126_AUTONOMIC_GANGLIA,2.3197947
ACH-000137,SIDM00998,687562.0,8-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,8MGBA_CENTRAL_NERVOUS_SYSTEM,2.3140178
ACH-000138,SIDM00130,906821.0,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CFPAC1_PANCREAS,3.3806958
ACH-000139,SIDM01138,925346.0,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0327_PANCREAS,3.0318766
ACH-000142,SIDM00936,1290730.0,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,CAL29_URINARY_TRACT,2.6704123
ACH-000144,SIDM00358,1240209.0,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,RERFGC1B_STOMACH,2.818009
ACH-000145,SIDM01109,909720.0,SK-LMS-1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,SKLMS1_SOFT_TISSUE,2.9494047
ACH-000146,SIDM01172,909771.0,THP-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0261085
ACH-000147,SIDM00097,905945.0,T-47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,T47D_BREAST,3.0336707
ACH-000148,SIDM00135,905957.0,Hs 578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",HS578T_BREAST,2.5094619
ACH-000149,SIDM01098,717431.0,SK-N-SH,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNSH_AUTONOMIC_GANGLIA,2.5030954
ACH-000151,SIDM00689,1327768.0,JM1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6830717
ACH-000153,SIDM00713,688058.0,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",NCIH2052_PLEURA,3.7579918
ACH-000155,SIDM01165,910907.0,SW 1990,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SW1990_PANCREAS,3.872195
ACH-000156,SIDM00376,908133.0,MHH-CALL-4,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,"B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like",MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5712678
ACH-000157,SIDM00502,910934.0,A4/Fuk,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2655678
ACH-000159,SIDM00239,909250.0,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,OSRC2_KIDNEY,3.9427211
ACH-000161,SIDM00513,906805.0,COR-L105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CORL105_LUNG,3.371647
ACH-000162,SIDM00854,1303896.0,GA-10,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4880292
ACH-000168,SIDM00580,908451.0,NOMO-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0551555
ACH-000169,SIDM00847,909264.0,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,RD_SOFT_TISSUE,3.2845163
ACH-000171,SIDM00317,909781.0,VMRC-RCZ,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,VMRCRCZ_KIDNEY,5.53262
ACH-000174,SIDM00931,906828.0,CAL-62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,CAL62_THYROID,2.790964
ACH-000176,SIDM00341,1298226.0,LOU-NH91,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LOUNH91_LUNG,3.10509
ACH-000177,SIDM01123,1330975.0,NCI-H660,Prostate,Prostate Small Cell Carcinoma,Prostate Small Cell Carcinoma,NCIH660_PROSTATE,3.6391494
ACH-000178,SIDM00664,1298141.0,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,HS766T_PANCREAS,4.1663613
ACH-000181,SIDM01080,909709.0,SCC-9,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,SCC9_UPPER_AERODIGESTIVE_TRACT,3.1560512
ACH-000183,SIDM00312,924239.0,L-363,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.9250244
ACH-000186,SIDM00723,1298356.0,NCI-H2444,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH2444_LUNG,4.883173
ACH-000187,SIDM00509,687980.0,COR-L311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL311_LUNG,2.3695467
ACH-000188,SIDM01082,910701.0,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,SCC25_UPPER_AERODIGESTIVE_TRACT,3.593247
ACH-000189,SIDM00235,909974.0,RCC10RGB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC10RGB_KIDNEY,4.208495
ACH-000191,SIDM00987,906696.0,BHT-101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,BHT101_THYROID,2.6581025
ACH-000192,SIDM00335,908129.0,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,MFE280_ENDOMETRIUM,3.5293214
ACH-000193,SIDM01006,1327775.0,KARPAS-620,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.202153
ACH-000196,SIDM00877,749713.0,HCC1599,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1599_BREAST,2.9246387
ACH-000197,SIDM00370,909762.0,TALL-1,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.94383645
ACH-000198,SIDM00277,906856.0,EOL-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Eosinophilic Leukemia, NOS",EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.6004586
ACH-000200,SIDM00575,908449.0,NMC-G1,CNS/Brain,Diffuse Glioma,Glioblastoma,NMCG1_CENTRAL_NERVOUS_SYSTEM,5.775901
ACH-000201,SIDM00798,910784.0,A-204,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,A204_SOFT_TISSUE,3.0850637
ACH-000204,SIDM00340,907791.0,LP-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.9383874
ACH-000207,SIDM00831,906837.0,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,DETROIT562_UPPER_AERODIGESTIVE_TRACT,2.189583
ACH-000210,SIDM00961,753539.0,CADO-ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,CADOES1_BONE,2.5069046
ACH-000211,SIDM00887,906833.0,Daoy,CNS/Brain,Embryonal Tumor,Medulloblastoma,DAOY_CENTRAL_NERVOUS_SYSTEM,2.466358
ACH-000212,SIDM00940,906826.0,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CAL120_BREAST,4.400767
ACH-000213,SIDM00531,907286.0,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,HUPT4_PANCREAS,3.48379
ACH-000217,SIDM00615,1240159.0,JHH-6,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH6_LIVER,3.8148553
ACH-000218,SIDM00450,1330991.0,PL-21,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6410326
ACH-000219,SIDM00795,906793.0,A-375,Skin,Melanoma,Melanoma,A375_SKIN,2.5471554
ACH-000221,SIDM01181,1240217.0,SNU-398,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU398_LIVER,2.4882271
ACH-000222,SIDM00899,910702.0,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ASPC1_PANCREAS,6.170135
ACH-000223,SIDM00874,749714.0,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1937_BREAST,3.9173265
ACH-000225,SIDM00279,906849.0,ECC12,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,ECC12_STOMACH,2.8508615
ACH-000226,SIDM00421,1331040.0,SUP-M2,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1267549
ACH-000227,SIDM00556,907314.0,KP-N-YN,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KPNYN_AUTONOMIC_GANGLIA,3.3388124
ACH-000228,SIDM00078,1290725.0,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR31_UPPER_AERODIGESTIVE_TRACT,2.5075493
ACH-000231,SIDM00613,907271.0,KALS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,KALS1_CENTRAL_NERVOUS_SYSTEM,3.4086676
ACH-000232,SIDM00111,905983.0,U-251 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,U251MG_CENTRAL_NERVOUS_SYSTEM,3.4188232
ACH-000233,SIDM00949,906836.0,DEL,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9624503
ACH-000235,SIDM01137,1298476.0,Panc 04.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0403_PANCREAS,5.2421045
ACH-000236,SIDM00812,909747.0,SW1417,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW1417_LARGE_INTESTINE,4.803703
ACH-000238,SIDM01081,910904.0,SCC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,SCC4_UPPER_AERODIGESTIVE_TRACT,3.2633584
ACH-000242,SIDM01085,687455.0,RT4,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,RT4_URINARY_TRACT,2.900992
ACH-000243,SIDM00950,1290797.0,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,DANG_PANCREAS,2.8357992
ACH-000244,SIDM00947,906839.0,DK-MG,CNS/Brain,Diffuse Glioma,Glioblastoma,DKMG_CENTRAL_NERVOUS_SYSTEM,3.5064833
ACH-000245,SIDM00985,910706.0,BL-41,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2254956
ACH-000247,SIDM00568,1298358.0,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,OCUM1_STOMACH,3.3684142
ACH-000248,SIDM00898,910704.0,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,AU565_BREAST,2.5177
ACH-000249,SIDM00944,1290769.0,CL-11,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CL11_LARGE_INTESTINE,3.76772
ACH-000250,SIDM00609,1298169.0,KMRC-20,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC20_KIDNEY,3.2307096
ACH-000252,SIDM00681,917486.0,LS1034,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS1034_LARGE_INTESTINE,3.544716
ACH-000254,SIDM01083,910911.0,SCC-15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,SCC15_UPPER_AERODIGESTIVE_TRACT,3.344501
ACH-000257,SIDM00511,910937.0,COR-L279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL279_LUNG,1.9818292
ACH-000258,SIDM01001,906844.0,Du4475,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DU4475_BREAST,1.4114882
ACH-000259,SIDM01009,753618.0,KELLY,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KELLY_AUTONOMIC_GANGLIA,1.8042647
ACH-000260,SIDM01101,724828.0,SK-N-AS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNAS_AUTONOMIC_GANGLIA,3.2052817
ACH-000263,SIDM01005,907275.0,KASUMI-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.8665465
ACH-000264,SIDM00921,724859.0,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CALU6_LUNG,3.2986252
ACH-000265,SIDM00301,753572.0,KP-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KP4_PANCREAS,2.6065361
ACH-000267,SIDM01064,924110.0,HDLM-2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.7522912
ACH-000269,SIDM00492,910933.0,AM-38,CNS/Brain,Diffuse Glioma,Glioblastoma,AM38_CENTRAL_NERVOUS_SYSTEM,2.7695713
ACH-000270,SIDM00670,1298136.0,HPAC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,HPAC_PANCREAS,3.9705486
