File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a57f5870-d6fd-443e-92f4-82ca0587643f	26b121fa-be24-440a-97f5-0eb4ed81db0d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-KK-A8I8	TCGA-KK-A8I8-01A	Tumor	Primary	Solid Tissue	OCT
a58330f2-075e-49fa-be30-d848c85c92da	c633ab7e-c17c-4c15-88e6-7f80b0e996ab.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-2Y-A9H3	TCGA-2Y-A9H3-01A	Tumor	Primary	Solid Tissue	OCT
a5840dde-219b-48f4-82e1-152bda7e39eb	b6381911-bfb9-4538-a79b-b183d2f393d1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BG-A0MS	TCGA-BG-A0MS-01A	Tumor	Primary	Solid Tissue	OCT
a5913baf-595f-49cc-8db0-75df08e66e97	8161a852-5987-4b73-aca5-b622c13d72af.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6295	TCGA-G4-6295-01A	Tumor	Primary	Solid Tissue	Unknown
a5946e34-0809-489e-9b50-b64a8d12fa84	8b2effb0-f366-4143-a6b9-90364dcf69e6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2916	TCGA-AB-2916-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
a59a5486-88ba-41c8-ac27-add9f80a6231	9b4fc265-11d8-4723-94ae-56674b2dd804.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PCPG	TCGA-RW-A68B	TCGA-RW-A68B-01A	Tumor	Primary	Solid Tissue	Unknown
a59ae08b-5b93-4b65-88f7-9715e0ca7ce4	81e77e03-b537-41e3-b3e5-be15970c6983.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-BG-A0MC	TCGA-BG-A0MC-01A	Tumor	Primary	Solid Tissue	OCT
a59ee28a-92fe-497d-9d35-64508e35cfc3	1dcaab22-e13b-453c-9811-52837c1bf1d7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-CF-A8HY	TCGA-CF-A8HY-01A	Tumor	Primary	Solid Tissue	OCT
a5b0b375-da86-4ca3-b14c-be97088f4449	c4b20382-0f54-46ac-b235-9d123a05569e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-J9-A8CK	TCGA-J9-A8CK-01A	Tumor	Primary	Solid Tissue	OCT
a5b4cedd-e76b-494c-8e8d-cb60dc151093	3b9b9409-c2f3-42e7-a947-88366020b579.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1XF	TCGA-D8-A1XF-01A	Tumor	Primary	Solid Tissue	Unknown
